IGOR
X NewDataFolder/S/O Graph1
WAVES	Avg_ad1_330_339
BEGIN
	-71.196243
	-71.189682
	-71.178123
	-71.16188
	-71.156876
	-71.163437
	-71.145309
	-71.147194
	-71.169052
	-71.194069
	-71.209694
	-71.225319
	-71.222816
	-71.17749
	-71.153122
	-71.14312
	-71.15406
	-71.152817
	-71.164375
	-71.157501
	-71.157501
	-71.165939
	-71.164062
	-71.166878
	-71.169998
	-71.166565
	-71.140625
	-71.134995
	-71.138435
	-71.139069
	-71.163124
	-71.171249
	-71.171875
	-71.166557
	-71.160622
	-71.154686
	-71.164993
	-71.179688
	-71.17469
	-71.188431
	-71.180313
	-71.165001
	-71.15625
	-71.183434
	-71.188438
	-71.176559
	-71.194992
	-71.196243
	-71.197189
	-71.172501
	-71.175003
	-71.168747
	-71.174057
	-71.169998
	-71.17469
	-71.170624
	-71.163437
	-71.132179
	-71.152191
	-71.17469
	-71.184067
	-71.175308
	-71.175941
	-71.167496
	-71.152496
	-71.145309
	-71.135933
	-71.131248
	-71.145622
	-71.158752
	-71.156563
	-71.146873
	-71.143433
	-71.149055
	-71.131874
	-71.134369
	-71.148125
	-71.146561
	-71.149994
	-71.170937
	-71.152191
	-71.157814
	-71.162811
	-71.156563
	-71.144058
	-71.136559
	-71.138748
	-71.156555
	-71.165306
	-71.155937
	-71.165001
	-71.178429
	-71.19313
	-71.202805
	-71.208748
	-71.196243
	-71.18718
	-71.178444
	-71.189056
	-71.191254
	-71.184685
	-71.178429
	-71.156876
	-71.156876
	-71.15593
	-71.150314
	-71.171249
	-71.179367
	-71.160309
	-71.144363
	-71.159065
	-71.165314
	-71.186874
	-71.194992
	-71.180618
	-71.167809
	-71.171555
	-71.167496
	-71.151558
	-71.154373
	-71.142197
	-71.13781
	-71.149368
	-71.157494
	-71.155624
	-71.160622
	-71.171562
	-71.160004
	-71.165306
	-71.183128
	-71.180313
	-71.178429
	-71.167816
	-71.154373
	-71.13031
	-71.11187
	-71.108124
	-71.102814
	-71.099686
	-71.132187
	-71.126251
	-71.144371
	-71.151253
	-71.166557
	-71.176559
	-71.183754
	-71.174057
	-71.154999
	-71.164375
	-71.161255
	-71.158432
	-71.142502
	-71.140312
	-71.132187
	-71.136566
	-71.134064
	-71.122185
	-71.132805
	-71.141869
	-71.141869
	-71.171562
	-71.183121
	-71.171249
	-71.142181
	-71.123123
	-71.099991
	-71.098747
	-71.109062
	-71.107498
	-71.09938
	-71.102821
	-71.111557
	-71.1175
	-71.108124
	-71.120003
	-71.13813
	-71.15094
	-71.129684
	-71.104996
	-71.133751
	-71.174057
	-71.185944
	-71.186249
	-71.195625
	-71.202812
	-71.197807
	-71.208435
	-71.228127
	-71.220322
	-71.204369
	-71.185623
	-71.150002
	-71.154999
	-71.167183
	-71.151245
	-71.142807
	-71.143745
	-71.129379
	-71.127182
	-71.135941
	-71.161873
	-71.165932
	-71.165001
	-71.144684
	-71.135628
	-71.156876
	-71.172188
	-71.165619
	-71.161247
	-71.165619
	-71.167496
	-71.165627
	-71.163437
	-71.150314
	-71.157188
	-71.164055
	-71.144691
	-71.147812
	-71.15844
	-71.155312
	-71.169693
	-71.184372
	-71.196243
	-71.207191
	-71.20031
	-71.198128
	-71.19532
	-71.208122
	-71.208755
	-71.179688
	-71.198753
	-71.210938
	-71.189377
	-71.162811
	-71.159683
	-71.16687
	-71.165314
	-71.184052
	-71.181244
	-71.192505
	-71.203751
	-71.19812
	-71.175308
	-71.162491
	-71.178436
	-71.166565
	-71.161873
	-71.158752
	-71.132492
	-71.136871
	-71.153755
	-71.155624
	-71.145622
	-71.150307
	-71.141251
	-71.140305
	-71.144371
	-71.136253
	-71.156563
	-71.183434
	-71.195305
	-71.173439
	-71.180626
	-71.167809
	-71.138435
	-71.142815
	-71.160629
	-71.155937
	-71.171867
	-71.167191
	-71.169373
	-71.178749
	-71.199059
	-71.197495
	-71.189377
	-71.180931
	-71.170624
	-71.18531
	-71.182808
	-71.173439
	-71.16407
	-71.156555
	-71.182495
	-71.162506
	-71.161568
	-71.156242
	-71.16375
	-71.180931
	-71.181244
	-71.163742
	-71.157188
	-71.164688
	-71.148445
	-71.152184
	-71.157494
	-71.159996
	-71.153435
	-71.145309
	-71.149063
	-71.14875
	-71.154068
	-71.178741
	-71.187492
	-71.197815
	-71.188751
	-71.183121
	-71.185928
	-71.184677
	-71.171555
	-71.166878
	-71.172806
	-71.164993
	-71.156563
	-71.158432
	-71.130936
	-71.129372
	-71.130936
	-71.138748
	-71.129379
	-71.131554
	-71.144058
	-71.155312
	-71.153755
	-71.154686
	-71.138748
	-71.133438
	-71.154991
	-71.166878
	-71.167809
	-71.175941
	-71.175003
	-71.181244
	-71.190002
	-71.183434
	-71.164062
	-71.157806
	-71.153442
	-71.142189
	-71.150932
	-71.165001
	-71.188126
	-71.195938
	-71.202194
	-71.193436
	-71.196564
	-71.178123
	-71.165627
	-71.151871
	-71.120621
	-71.110939
	-71.102188
	-71.112808
	-71.119682
	-71.138748
	-71.148125
	-71.159065
	-71.178757
	-71.194054
	-71.183121
	-71.182816
	-71.189056
	-71.191254
	-71.186874
	-71.199684
	-71.192497
	-71.178123
	-71.171249
	-71.163742
	-71.146561
	-71.133438
	-71.142189
	-71.157494
	-71.163124
	-71.168442
	-71.14875
	-71.139061
	-71.172188
	-71.18531
	-71.184059
	-71.179367
	-71.170311
	-71.150009
	-71.152809
	-71.183746
	-71.188126
	-71.184685
	-71.159378
	-71.170937
	-71.171555
	-71.193436
	-71.189682
	-71.188438
	-71.17218
	-71.160934
	-71.145309
	-71.13343
	-71.144371
	-71.169052
	-71.169678
	-71.169685
	-71.158127
	-71.13562
	-71.112816
	-71.120934
	-71.142807
	-71.14312
	-71.154991
	-71.165619
	-71.199059
	-71.211563
	-71.196243
	-71.195618
	-71.185623
	-71.181564
	-71.171249
	-71.152184
	-71.155624
	-71.151566
	-71.164375
	-71.160309
	-71.157501
	-71.162186
	-71.163742
	-71.170303
	-71.156242
	-71.16938
	-71.173126
	-71.177505
	-71.170937
	-71.152817
	-71.146248
	-71.156876
	-71.173439
	-71.154686
	-71.146561
	-71.159988
	-71.168434
	-71.149994
	-71.110931
	-71.089378
	-71.097809
	-71.117813
	-71.149063
	-71.173126
	-71.163437
	-71.151871
	-71.14843
	-71.150002
	-71.152496
	-71.16188
	-71.162804
	-71.197815
	-71.217194
	-71.222496
	-71.211868
	-71.198441
	-71.197502
	-71.178749
	-71.18499
	-71.184372
	-71.163742
	-71.15406
	-71.140305
	-71.15625
	-71.135933
	-71.167183
	-71.191566
	-71.209373
	-71.220932
	-71.201561
	-71.172806
	-71.144684
	-71.14875
	-71.161247
	-71.155937
