IGOR
X NewDataFolder/S/O Graph1
WAVES	Avg_ad1_230_239
BEGIN
	-71.201561
	-71.153748
	-71.154373
	-71.208435
	-71.197189
	-71.172501
	-71.175308
	-71.162186
	-71.231247
	-71.193436
	-71.168434
	-71.196556
	-71.217812
	-71.22625
	-71.167191
	-71.150932
	-71.205002
	-71.195
	-71.196564
	-71.199059
	-71.140938
	-71.166245
	-71.176247
	-71.162811
	-71.138435
	-71.22406
	-71.201248
	-71.198753
	-71.188431
	-71.165627
	-71.140625
	-71.160622
	-71.157501
	-71.180313
	-71.159378
	-71.18219
	-71.11969
	-71.173752
	-71.191879
	-71.200615
	-71.18187
	-71.190308
	-71.168747
	-71.193123
	-71.203751
	-71.179062
	-71.175934
	-71.163124
	-71.189064
	-71.209061
	-71.187813
	-71.183121
	-71.183121
	-71.204376
	-71.206558
	-71.195
	-71.188118
	-71.255318
	-71.17688
	-71.147812
	-71.189056
	-71.214066
	-71.198746
	-71.170944
	-71.188438
	-71.239998
	-71.208443
	-71.145309
	-71.175308
	-71.127495
	-71.176559
	-71.220001
	-71.207191
	-71.167809
	-71.216873
	-71.202812
	-71.189682
	-71.188126
	-71.196251
	-71.189682
	-71.194687
	-71.161568
	-71.176559
	-71.184692
	-71.178749
	-71.223434
	-71.202499
	-71.195007
	-71.186554
	-71.179062
	-71.227814
	-71.184998
	-71.18187
	-71.193741
	-71.214371
	-71.154686
	-71.158432
	-71.238121
	-71.173126
	-71.144363
	-71.182816
	-71.202187
	-71.145622
	-71.189064
	-71.183434
	-71.170624
	-71.205307
	-71.196877
	-71.195312
	-71.146866
	-71.179375
	-71.186241
	-71.246872
	-71.164375
	-71.173119
	-71.206558
	-71.180931
	-71.199684
	-71.159065
	-71.171555
	-71.201874
	-71.221245
	-71.167191
	-71.167809
	-71.209373
	-71.198128
	-71.163437
	-71.190002
	-71.192184
	-71.201248
	-71.192184
	-71.212189
	-71.184372
	-71.126564
	-71.218124
	-71.166245
	-71.197189
	-71.18531
	-71.175308
	-71.208748
	-71.200302
	-71.147499
	-71.202187
	-71.186562
	-71.153122
	-71.175308
	-71.205307
	-71.162819
	-71.199997
	-71.193115
	-71.209061
	-71.181877
	-71.167496
	-71.194069
	-71.215935
	-71.172501
	-71.208435
	-71.184692
	-71.205307
	-71.199059
	-71.197807
	-71.154373
	-71.185318
	-71.208435
	-71.181564
	-71.170303
	-71.162819
	-71.178429
	-71.15094
	-71.149376
	-71.170624
	-71.137184
	-71.157814
	-71.184685
	-71.158432
	-71.169373
	-71.19249
	-71.185623
	-71.198753
	-71.184059
	-71.201561
	-71.180939
	-71.165306
	-71.183121
	-71.185318
	-71.180618
	-71.186874
	-71.176247
	-71.180618
	-71.183434
	-71.184685
	-71.195305
	-71.171562
	-71.164688
	-71.159683
	-71.173447
	-71.193123
	-71.18531
	-71.193748
	-71.15625
	-71.181252
	-71.176872
	-71.148743
	-71.192184
	-71.176254
	-71.216248
	-71.193436
	-71.179375
	-71.176247
	-71.192184
	-71.199379
	-71.186554
	-71.196251
	-71.199692
	-71.173752
	-71.19812
	-71.167183
	-71.185318
	-71.150307
	-71.163437
	-71.187813
	-71.138435
	-71.162186
	-71.208443
	-71.175308
	-71.145622
	-71.142502
	-71.152184
	-71.227188
	-71.180931
	-71.175308
	-71.158752
	-71.131554
	-71.169373
	-71.166565
	-71.188759
	-71.157188
	-71.176254
	-71.161568
	-71.195625
	-71.167183
	-71.175941
	-71.178123
	-71.202812
	-71.187492
	-71.172188
	-71.140312
	-71.162498
	-71.140938
	-71.171875
	-71.143127
	-71.164688
	-71.180313
	-71.188438
	-71.163124
	-71.144379
	-71.168747
	-71.147499
	-71.208748
	-71.188126
	-71.240311
	-71.183754
	-71.15406
	-71.159378
	-71.204681
	-71.208115
	-71.16938
	-71.140625
	-71.160614
	-71.167809
	-71.13781
	-71.21344
	-71.194374
	-71.165939
	-71.180939
	-71.217178
	-71.195305
	-71.169998
	-71.171555
	-71.176559
	-71.187187
	-71.204369
	-71.168747
	-71.150925
	-71.173126
