IGOR
X NewDataFolder/S/O Graph1
WAVES	Avg_ad1_340_349
BEGIN
	-71.52343
	-71.518127
	-71.519997
	-71.491875
	-71.504997
	-71.515625
	-71.52375
	-71.50499
	-71.496246
	-71.501244
	-71.522499
	-71.527809
	-71.524994
	-71.52906
	-71.494682
	-71.492195
	-71.479065
	-71.516243
	-71.502495
	-71.479691
	-71.519997
	-71.470627
	-71.510941
	-71.517502
	-71.511559
	-71.53125
	-71.515938
	-71.488426
	-71.480309
	-71.500931
	-71.530312
	-71.545303
	-71.532501
	-71.510315
	-71.516869
	-71.535934
	-71.52562
	-71.534378
	-71.542816
	-71.501564
	-71.521561
	-71.509689
	-71.536873
	-71.497192
	-71.533127
	-71.487183
	-71.519691
	-71.523743
	-71.496559
	-71.546867
	-71.505005
	-71.523445
	-71.498756
	-71.52562
	-71.499374
	-71.503433
	-71.526871
	-71.521866
	-71.4925
	-71.495934
	-71.504997
	-71.511246
	-71.507797
	-71.523117
	-71.564995
	-71.568436
	-71.561874
	-71.521248
	-71.488434
	-71.511871
	-71.50563
	-71.483437
	-71.494682
	-71.519363
	-71.531876
	-71.542191
	-71.521248
	-71.573128
	-71.514687
	-71.494995
	-71.487808
	-71.504684
	-71.514061
	-71.557182
	-71.464371
	-71.51281
	-71.524055
	-71.543129
	-71.550613
	-71.522507
	-71.534378
	-71.555
	-71.512802
	-71.540932
	-71.489059
	-71.486877
	-71.485931
	-71.513443
	-71.459061
	-71.51281
	-71.489372
	-71.535934
	-71.542183
	-71.515938
	-71.487183
	-71.516876
	-71.527496
	-71.491249
	-71.533127
	-71.48468
	-71.496559
	-71.497818
	-71.477493
	-71.511559
	-71.51281
	-71.514687
	-71.480621
	-71.538124
	-71.475319
	-71.496246
	-71.4925
	-71.493439
	-71.519058
	-71.513123
	-71.511246
	-71.516243
	-71.509369
	-71.511551
	-71.466873
	-71.529999
	-71.51593
	-71.541878
	-71.532814
	-71.52375
	-71.521255
	-71.529686
	-71.511559
	-71.519691
	-71.479057
	-71.474998
	-71.494377
	-71.49968
	-71.512497
	-71.528427
	-71.464996
	-71.505623
	-71.544998
	-71.516884
	-71.469681
	-71.501259
	-71.505318
	-71.523438
	-71.54438
	-71.502502
	-71.512497
	-71.497505
	-71.498741
	-71.499062
	-71.500626
	-71.520615
	-71.525314
	-71.473122
	-71.503128
	-71.511871
	-71.487808
	-71.519691
	-71.516869
	-71.528442
	-71.501556
	-71.510941
	-71.529999
	-71.527184
	-71.517815
	-71.523743
	-71.51812
	-71.513748
	-71.521866
	-71.534378
	-71.504379
	-71.522186
	-71.50312
	-71.522812
	-71.524368
	-71.495308
	-71.508118
	-71.510628
	-71.508125
	-71.486557
	-71.487808
	-71.517502
	-71.485001
	-71.499374
	-71.536247
	-71.522186
	-71.521561
	-71.484688
	-71.467178
	-71.482193
	-71.521561
	-71.495934
	-71.513435
	-71.553123
	-71.543129
	-71.517807
	-71.521255
	-71.489685
	-71.45562
	-71.485619
	-71.549057
	-71.487503
	-71.53875
	-71.504051
	-71.494064
	-71.519058
	-71.52594
	-71.556557
	-71.536568
	-71.500626
	-71.501564
	-71.459686
	-71.488441
	-71.506874
	-71.563126
	-71.511246
	-71.514366
	-71.539375
	-71.49968
	-71.506874
	-71.490936
	-71.499374
	-71.523117
	-71.495003
	-71.5075
	-71.523117
	-71.493752
	-71.565941
	-71.508118
	-71.504372
	-71.505302
	-71.52375
	-71.512192
	-71.526871
	-71.517807
	-71.524063
	-71.487808
	-71.504372
	-71.484062
	-71.529373
	-71.534378
	-71.532486
	-71.51062
	-71.494675
	-71.478745
	-71.494995
	-71.490944
	-71.520927
	-71.506241
	-71.513123
	-71.51812
	-71.538742
	-71.542809
	-71.548126
	-71.519691
	-71.510307
	-71.504364
	-71.525314
	-71.534065
	-71.547501
	-71.520317
	-71.522812
	-71.494064
	-71.511246
	-71.504059
	-71.536552
	-71.563126
	-71.544693
	-71.530624
	-71.511246
	-71.526253
	-71.481873
	-71.49469
	-71.55468
	-71.508438
	-71.529373
	-71.518112
	-71.485939
	-71.514999
	-71.532494
	-71.528122
	-71.503441
	-71.534378
	-71.496567
	-71.497185
	-71.506882
	-71.47937
	-71.49688
	-71.512184
	-71.506569
	-71.520943
	-71.47094
	-71.503746
	-71.521873
	-71.583435
	-71.526871
	-71.511246
	-71.48719
	-71.513443
	-71.560936
	-71.538437
	-71.47094
	-71.492813
	-71.506554
	-71.507187
	-71.499687
	-71.511871
	-71.524681
	-71.518753
	-71.476562
	-71.49781
	-71.552811
	-71.493752
	-71.456558
	-71.488747
	-71.514687
	-71.526245
	-71.528748
	-71.507812
	-71.527809
	-71.531868
	-71.488121
	-71.511879
	-71.460617
	-71.497185
	-71.51313
	-71.507812
	-71.474373
	-71.51313
	-71.496246
	-71.475937
	-71.495621
	-71.510941
	-71.489693
	-71.516869
	-71.542496
	-71.509689
	-71.498749
	-71.530304
	-71.546555
	-71.548119
	-71.509056
	-71.480621
	-71.504059
	-71.523125
	-71.498749
	-71.51844
	-71.570312
	-71.502495
	-71.475632
	-71.551254
	-71.518753
	-71.498123
	-71.496246
	-71.512497
	-71.519684
	-71.504059
	-71.521873
	-71.532188
	-71.496254
	-71.515625
	-71.531563
	-71.529999
	-71.509056
	-71.490311
	-71.504372
	-71.51844
	-71.514366
	-71.557182
	-71.489372
	-71.510941
	-71.477806
	-71.522507
	-71.53125
	-71.476242
	-71.500313
	-71.528427
	-71.525932
	-71.54187
	-71.533127
	-71.485626
	-71.50499
	-71.524689
	-71.515305
	-71.471245
	-71.476875
	-71.50782
	-71.543747
	-71.538437
	-71.494682
	-71.465622
	-71.529373
	-71.533127
	-71.545616
	-71.484062
	-71.548744
	-71.475311
	-71.529068
	-71.489693
	-71.50531
	-71.514381
	-71.471245
	-71.514687
	-71.513115
	-71.521873
	-71.499062
	-71.492188
	-71.514999
	-71.488113
	-71.533745
	-71.549995
	-71.485001
	-71.457809
	-71.509995
	-71.551559
	-71.539688
	-71.509689
	-71.472816
	-71.541557
	-71.542809
	-71.520935
	-71.51281
	-71.508743
	-71.478439
	-71.529678
	-71.518745
	-71.493118
	-71.578133
	-71.554367
	-71.490944
	-71.525314
	-71.479683
	-71.488747
	-71.541245
	-71.513428
	-71.522186
	-71.467804
	-71.525932
	-71.474998
	-71.525314
	-71.476562
	-71.514053
	-71.528748
	-71.554367
	-71.518753
	-71.500938
	-71.556244
	-71.516243
	-71.531876
	-71.538437
	-71.513123
	-71.525932
	-71.533745
	-71.550949
	-71.541565
	-71.538742
	-71.51062
