IGOR
X NewDataFolder/S/O Graph1
WAVES	Avg_ad1_454_463
BEGIN
	-71.842499
	-71.784683
	-71.824059
	-71.769058
	-71.781555
	-71.801872
	-71.784378
	-71.781563
	-71.785934
	-71.750313
	-71.803749
	-71.811562
	-71.792801
	-71.800621
	-71.746567
	-71.765312
	-71.813438
	-71.8125
	-71.794685
	-71.801872
	-71.83313
	-71.782806
	-71.767197
	-71.815628
	-71.811562
	-71.790306
	-71.813438
	-71.834366
	-71.804367
	-71.803436
	-71.789062
	-71.816559
	-71.767807
	-71.818436
	-71.792496
	-71.813126
	-71.788132
	-71.776566
	-71.779999
	-71.788116
	-71.807808
	-71.796867
	-71.770309
	-71.796867
	-71.780624
	-71.773445
	-71.810623
	-71.823746
	-71.820305
	-71.793747
	-71.852501
	-71.829689
	-71.799995
	-71.779999
	-71.809685
	-71.80719
	-71.792496
	-71.837494
	-71.763435
	-71.863121
	-71.792191
	-71.813431
	-71.79969
	-71.772812
	-71.798752
	-71.780312
	-71.775002
	-71.803123
	-71.806244
	-71.78157
	-71.809998
	-71.803123
	-71.805931
	-71.811241
	-71.815941
	-71.805931
	-71.796875
	-71.822815
	-71.784996
	-71.810936
	-71.804375
	-71.814682
	-71.806564
	-71.816246
	-71.796562
	-71.775314
	-71.807495
	-71.81749
	-71.799683
	-71.833755
	-71.798752
	-71.771561
	-71.793434
	-71.798439
	-71.839371
	-71.78656
	-71.806244
	-71.795937
	-71.785309
	-71.783745
	-71.804688
	-71.814377
	-71.778748
	-71.776253
	-71.792809
	-71.788132
	-71.849998
	-71.819374
	-71.795944
	-71.801865
	-71.836876
	-71.844063
	-71.751251
	-71.775314
	-71.81781
	-71.789375
	-71.824684
	-71.77375
	-71.824684
	-71.809372
	-71.818123
	-71.823433
	-71.808746
	-71.802811
	-71.817184
	-71.809067
	-71.825623
	-71.780006
	-71.783745
	-71.808746
	-71.782181
	-71.820305
	-71.788742
	-71.789688
	-71.789375
	-71.801559
	-71.779373
	-71.792809
	-71.81562
	-71.809685
	-71.789993
	-71.800934
	-71.816879
	-71.794067
	-71.787498
	-71.776253
	-71.799995
	-71.828438
	-71.844376
	-71.769691
	-71.810623
	-71.773125
	-71.796562
	-71.820633
	-71.830627
	-71.800934
	-71.771873
	-71.789375
	-71.764061
	-71.785309
	-71.788132
	-71.762184
	-71.810623
	-71.762497
	-71.783432
	-71.793747
	-71.822807
	-71.775314
	-71.833435
	-71.770309
	-71.800003
	-71.797188
	-71.816559
	-71.77343
	-71.7425
	-71.785934
	-71.835007
	-71.811569
	-71.760307
	-71.796249
	-71.776558
	-71.787819
	-71.76593
	-71.79438
	-71.797501
	-71.783432
	-71.754379
	-71.745316
	-71.790314
	-71.781876
	-71.784065
	-71.761879
	-71.792496
	-71.810936
	-71.800316
	-71.78125
	-71.79438
	-71.779999
	-71.817184
	-71.801559
	-71.80719
	-71.804993
	-71.776871
	-71.822495
	-71.780319
	-71.825943
	-71.816254
	-71.794685
	-71.792816
	-71.758118
	-71.794685
	-71.828751
	-71.775932
	-71.82312
	-71.809067
	-71.80188
	-71.778435
	-71.797501
	-71.758743
	-71.798439
	-71.780006
	-71.798431
	-71.827499
	-71.784996
	-71.769691
	-71.775009
	-71.759689
	-71.781555
	-71.827805
	-71.820305
	-71.818436
	-71.76812
	-71.785309
	-71.758438
	-71.78125
	-71.778122
	-71.796555
	-71.819061
	-71.799698
	-71.785004
	-71.795303
	-71.814369
	-71.783432
	-71.738754
	-71.779999
	-71.785004
	-71.788124
	-71.797501
	-71.778122
	-71.797188
	-71.784996
	-71.764366
	-71.781876
	-71.791245
	-71.818436
	-71.773125
	-71.77562
	-71.765938
	-71.796249
	-71.818436
	-71.766556
	-71.784058
	-71.819374
	-71.800941
	-71.81469
	-71.785309
	-71.808441
	-71.834694
	-71.743118
	-71.772186
	-71.789055
	-71.801872
	-71.821251
	-71.809685
	-71.793434
	-71.784996
	-71.779686
	-71.801559
	-71.807816
	-71.769371
	-71.782814
	-71.770309
	-71.818436
	-71.825302
	-71.808128
	-71.802185
	-71.789375
	-71.78344
	-71.820312
	-71.819992
	-71.804062
	-71.785309
	-71.794373
	-71.804367
	-71.813751
	-71.873436
	-71.791245
	-71.792183
	-71.775314
	-71.767189
	-71.809998
	-71.813751
	-71.750008
	-71.790939
	-71.796555
	-71.805
	-71.758125
	-71.783432
	-71.808121
	-71.776253
	-71.773758
	-71.798752
	-71.766251
	-71.79406
	-71.793747
	-71.824059
	-71.786873
	-71.811874
	-71.802505
	-71.792496
	-71.788437
	-71.831558
	-71.748123
	-71.766556
	-71.802505
	-71.849686
	-71.829369
	-71.784065
	-71.791878
	-71.819992
	-71.81218
	-71.766243
	-71.818123
	-71.809372
	-71.823746
	-71.803444
	-71.716248
	-71.805
	-71.844376
	-71.835312
	-71.816551
	-71.84375
	-71.852188
	-71.779373
	-71.788757
	-71.813118
	-71.817184
	-71.807182
	-71.782181
	-71.779373
	-71.826866
	-71.829369
	-71.836563
	-71.829376
	-71.763748
	-71.837494
	-71.776878
	-71.798126
	-71.795616
	-71.774681
	-71.761559
	-71.801559
	-71.784378
	-71.822189
	-71.793747
	-71.745934
	-71.81562
	-71.767181
	-71.767807
	-71.772179
	-71.77562
	-71.802498
	-71.824692
	-71.819992
	-71.792496
	-71.826561
	-71.811874
	-71.791252
	-71.7575
	-71.776558
	-71.771248
	-71.796249
	-71.808121
	-71.765938
	-71.786873
	-71.821564
	-71.810944
	-71.813126
	-71.781258
	-71.804367
	-71.831871
	-71.805
	-71.771561
	-71.800308
	-71.828117
	-71.801254
	-71.819069
	-71.827187
	-71.802498
	-71.785622
	-71.823746
	-71.848122
	-71.577812
	-71.226562
	-71.198441
	-71.342186
	-71.420616
	-71.468124
	-71.551559
	-71.623428
	-71.679062
	-71.644371
	-71.644058
	-71.639679
	-71.590622
	-71.53875
	-71.51313
	-71.502495
	-71.44313
	-71.43187
	-71.354691
	-71.336563
	-71.290314
	-71.223434
	-71.175308
	-71.175308
	-71.100937
	-71.013443
	-71.013123
	-70.921249
	-70.893753
	-70.884689
	-70.84906
	-70.767494
	-70.727188
	-70.744682
	-70.65094
	-70.651253
	-70.588745
	-70.600319
	-70.518745
	-70.519997
	-70.464996
	-70.442184
	-70.394379
	-70.319069
	-70.368431
	-70.326874
	-70.309067
	-70.290001
	-70.255936
	-70.203117
	-70.150932
	-70.144058
	-70.180313
	-70.094681
	-70.082809
	-70.04937
	-70.011559
	-70.032188
	-69.990623
	-69.978745
	-69.913437
	-69.959686
	-69.937805
	-69.931564
	-69.917191
	-69.835625
	-69.85125
	-69.851242
	-69.821564
	-69.81781
	-69.798126
	-69.803123
	-69.741257
	-69.738441
	-69.745308
	-69.795311
	-69.715622
	-69.72937
	-69.726883
	-69.694374
	-69.67437
	-69.662811
	-69.669998
	-69.707184
	-69.619682
	-69.65625
	-69.650314
	-69.598129
	-69.614685
	-69.600632
	-69.592178
	-69.599373
	-69.587502
	-69.588432
	-69.554367
	-69.581558
	-69.535629
	-69.538742
	-69.574066
	-69.51281
	-69.561874
	-69.548431
	-69.591255
	-69.542496
	-69.516556
	-69.527809
	-69.502808
	-69.5075
	-69.501564
	-69.520309
	-69.52562
	-69.525314
	-69.512497
	-69.518753
	-69.517502
	-69.522812
	-69.572495
	-69.543129
	-69.54969
	-69.482811
	-69.516556
	-69.472183
	-69.508438
	-69.547813
	-69.522491
	-69.514381
	-69.527817
	-69.528755
	-69.565002
	-69.516876
	-69.567184
	-69.495621
	-69.525932
	-69.524689
	-69.555939
	-69.547195
	-69.540001
	-69.548752
	-69.579376
	-69.560623
	-69.570938
	-69.52562
	-69.568123
	-69.596565
	-69.59156
	-69.53907
	-69.610931
	-69.598434
	-69.602188
	-69.600624
	-69.574997
	-69.591866
	-69.604691
	-69.613121
	-69.616562
	-69.623756
	-69.615631
	-69.611252
	-69.61937
	-69.641556
	-69.619064
	-69.617188
	-69.654999
	-69.660622
	-69.676872
	-69.69062
	-69.639053
	-69.677498
	-69.667496
	-69.671562
	-69.646873
	-69.705002
	-69.712807
	-69.748123
	-69.716568
	-69.693436
	-69.745934
	-69.74781
	-69.766251
	-69.730942
	-69.703751
	-69.745934
	-69.757812
	-69.742188
	-69.78875
	-69.77562
	-69.787811
	-69.79406
	-69.780624
	-69.807503
	-69.792496
	-69.829376
	-69.803749
	-69.808746
	-69.838432
	-69.853745
	-69.83062
	-69.830002
	-69.820625
	-69.886246
	-69.847809
	-69.840622
	-69.888115
	-69.888748
	-69.907806
	-69.853439
	-69.889687
	-69.889381
	-69.948746
	-69.936554
	-69.919373
	-69.981873
	-69.935623
	-69.964066
	-69.952812
	-69.976562
	-69.958748
	-69.963753
	-70.001556
	-70.000626
	-70.024689
	-69.959694
	-69.995316
	-70.024368
	-70.055618
	-70.045616
	-70.021866
	-70.046562
	-70.074371
	-70.035301
	-70.055313
	-70.084366
	-70.077805
	-70.088432
	-70.082504
	-70.114372
	-70.086563
	-70.112808
	-70.144997
	-70.135612
	-70.100937
	-70.125931
	-70.142189
	-70.208748
	-70.156876
	-70.15937
	-70.191872
	-70.214371
	-70.191872
	-70.170311
	-70.21312
	-70.244064
	-70.209686
	-70.208122
	-70.224373
	-70.225632
	-70.216873
	-70.259064
	-70.25563
	-70.28437
	-70.28875
	-70.234062
	-70.239059
	-70.235001
	-70.298752
	-70.266251
	-70.30687
	-70.320625
	-70.32563
	-70.301865
	-70.325935
	-70.29406
	-70.295937
	-70.342186
	-70.352493
	-70.376251
	-70.351868
	-70.372498
	-70.395004
	-70.397499
	-70.444061
	-70.419373
	-70.412186
	-70.395309
	-70.411247
	-70.430626
	-70.40937
	-70.436249
	-70.408127
	-70.459999
	-70.481567
	-70.470932
	-70.441566
	-70.471252
	-70.456558
	-70.484375
	-70.45594
	-70.495316
	-70.45562
	-70.488754
	-70.499687
	-70.489998
	-70.528122
	-70.511864
	-70.488441
	-70.485939
	-70.567497
	-70.571877
	-70.547813
	-70.522186
	-70.568748
	-70.559685
	-70.579376
	-70.535004
	-70.590004
	-70.587494
	-70.544998
	-70.629059
	-70.583443
	-70.653435
	-70.633743
	-70.607185
	-70.620316
	-70.652191
	-70.664062
	-70.622185
	-70.630936
	-70.618439
	-70.644058
	-70.660309
	-70.669685
	-70.680626
	-70.689377
	-70.642181
	-70.693436
	-70.692184
	-70.729057
	-70.712509
	-70.692184
	-70.678749
	-70.674057
	-70.745941
	-70.728439
	-70.735619
	-70.757812
	-70.724998
	-70.756874
	-70.765305
	-70.7425
	-70.771561
	-70.783432
	-70.807808
	-70.778748
	-70.803436
	-70.807495
	-70.777504
	-70.822189
	-70.794365
	-70.798439
	-70.795944
	-70.784378
	-70.792183
	-70.825615
	-70.815941
	-70.830627
	-70.835617
	-70.839058
	-70.813431
	-70.837814
	-70.858437
	-70.892807
	-70.83812
	-70.854057
	-70.854996
	-70.862183
	-70.877495
	-70.827187
	-70.850311
	-70.859375
	-70.862808
	-70.866867
	-70.874687
	-70.885628
	-70.899368
	-70.903122
	-70.904068
	-70.908745
	-70.912804
	-70.886246
	-70.910629
	-70.892181
	-70.900314
	-70.942505
	-70.966248
	-71.001251
	-70.956558
	-70.930939
	-70.979691
	-70.979691
	-70.985001
	-70.975937
	-70.74968
	-70.446251
	-70.420311
	-70.456558
	-70.580933
	-70.672188
	-70.761871
	-70.78624
	-70.819992
	-70.820312
	-70.82
	-70.834061
	-70.783432
	-70.762802
	-70.774368
	-70.725304
	-70.670944
	-70.637497
	-70.625313
	-70.524063
	-70.514999
	-70.488754
	-70.434998
	-70.399063
	-70.389061
	-70.27562
	-70.26844
	-70.225937
	-70.192497
	-70.114685
	-70.091873
	-70.111244
	-70.072815
	-69.973129
	-69.964684
	-69.932808
	-69.926559
	-69.866554
	-69.809372
	-69.790619
	-69.804367
	-69.756882
	-69.707504
	-69.712196
	-69.656876
	-69.639061
	-69.616249
	-69.58625
	-69.61937
	-69.573753
	-69.49437
	-69.550308
	-69.459686
	-69.445
	-69.465935
	-69.425941
	-69.461243
	-69.397499
	-69.379997
	-69.342819
	-69.295937
	-69.339996
	-69.300949
	-69.301865
	-69.279678
	-69.26313
	-69.227188
	-69.228745
	-69.241562
	-69.215622
	-69.194374
	-69.177185
	-69.169373
	-69.158745
	-69.151566
	-69.156563
	-69.111557
	-69.130005
	-69.081863
	-69.098129
	-69.112503
	-69.074371
	-69.103745
	-69.063751
	-69.05687
	-69.061554
	-69.043747
	-69.019371
	-69.02375
	-69.060623
	-69.057816
	-69.055313
	-69.083435
	-69.045624
	-69.034378
	-69.05687
	-69.061562
	-69.030937
	-68.99437
	-69.021866
	-69.002495
	-69.043434
	-69.014694
	-68.978752
	-69.065933
	-69.050934
	-68.988441
	-68.985001
	-68.992188
	-69.00531
	-69.022186
	-69.020309
	-69.003433
	-69.06031
	-69.021248
	-69.039375
	-69.001877
	-69.016556
	-69.032486
	-69.03093
	-69.032806
	-69.030304
	-69.018753
	-69.047501
	-69.066566
	-69.077812
	-69.022179
	-69.096558
	-69.104065
	-69.061562
	-69.054993
	-69.089378
	-69.067818
	-69.089684
	-69.094376
	-69.040314
	-69.109055
	-69.088745
	-69.109062
	-69.168747
	-69.075317
	-69.12468
	-69.132187
	-69.136566
	-69.176872
	-69.113754
	-69.134689
	-69.152504
	-69.139694
	-69.135315
	-69.145935
	-69.204369
	-69.21125
