IGOR
X NewDataFolder/S/O Graph1
WAVES	Avg_ad1_320_329
BEGIN
	-71.162819
	-71.101555
	-71.098434
	-71.153748
	-71.158127
	-71.092506
	-71.113129
	-71.128746
	-71.160629
	-71.154068
	-71.125
	-71.145309
	-71.13063
	-71.139694
	-71.138748
	-71.126556
	-71.13282
	-71.112816
	-71.14843
	-71.10968
	-71.110306
	-71.164688
	-71.113434
	-71.107811
	-71.121567
	-71.098747
	-71.110931
	-71.159065
	-71.16156
	-71.150307
	-71.110626
	-71.130623
	-71.122498
	-71.122185
	-71.117493
	-71.146873
	-71.146255
	-71.136551
	-71.130623
	-71.138443
	-71.138748
	-71.063751
	-71.152184
	-71.102188
	-71.135941
	-71.121246
	-71.135628
	-71.135941
	-71.138443
	-71.15374
	-71.128128
	-71.167496
	-71.124992
	-71.171562
	-71.081253
	-71.151878
	-71.154991
	-71.123131
	-71.131874
	-71.120003
	-71.134377
	-71.152496
	-71.117813
	-71.097488
	-71.143127
	-71.153427
	-71.135315
	-71.137192
	-71.159691
	-71.102501
	-71.118744
	-71.131248
	-71.115311
	-71.122498
	-71.137497
	-71.17218
	-71.127182
	-71.12281
	-71.118118
	-71.113754
	-71.130936
	-71.15062
	-71.119682
	-71.085312
	-71.118431
	-71.127182
	-71.108749
	-71.133118
	-71.105629
	-71.118118
	-71.127808
	-71.13031
	-71.082184
	-71.101242
	-71.137184
	-71.145004
	-71.113747
	-71.149368
	-71.136871
	-71.149063
	-71.101242
	-71.113441
	-71.15094
	-71.138748
	-71.094681
	-71.111557
	-71.127808
	-71.128746
	-71.118744
	-71.122177
	-71.13343
	-71.102188
	-71.150932
	-71.122185
	-71.107498
	-71.106567
	-71.131561
	-71.114685
	-71.120621
	-71.144691
	-71.145943
	-71.127495
	-71.140305
	-71.121246
	-71.097496
	-71.129059
	-71.111252
	-71.118744
	-71.125931
	-71.131248
	-71.142502
	-71.111252
	-71.131866
	-71.103752
	-71.129372
	-71.125
	-71.103432
	-71.159996
	-71.145943
	-71.179062
	-71.131248
	-71.134377
	-71.139053
	-71.113754
	-71.118752
	-71.163742
	-71.101555
	-71.134689
	-71.06813
	-71.084679
	-71.141251
	-71.13781
	-71.114685
	-71.139061
	-71.129997
	-71.118118
	-71.120316
	-71.107498
	-71.078117
	-71.111244
	-71.104057
	-71.182808
	-71.075623
	-71.126556
	-71.112503
	-71.090317
	-71.116875
	-71.127502
	-71.112816
	-71.149063
	-71.15406
	-71.149376
	-71.092499
	-71.12468
	-71.100311
	-71.124069
	-71.111565
	-71.115623
	-71.139374
	-71.118439
	-71.12281
	-71.117813
	-71.103439
	-71.149689
	-71.128441
	-71.122498
	-71.085938
	-71.139374
	-71.1325
	-71.180626
	-71.123123
	-71.14093
	-71.144058
	-71.173119
	-71.141251
	-71.125931
	-71.128746
	-71.138748
	-71.108437
	-71.11187
	-71.122185
	-70.933121
	-71.091873
	-71.139694
	-71.08625
	-71.114693
	-71.103119
	-71.050934
	-71.049675
	-71.084686
	-71.009064
	-71.007805
	-71.037186
	-71.014694
	-70.956558
	-70.979683
	-70.963127
	-70.945633
	-70.921875
	-70.929382
	-70.917496
	-70.857819
	-70.863434
	-70.858116
	-70.857811
	-70.834999
	-70.821243
	-70.875313
	-70.793747
	-70.779373
	-70.775002
	-70.756241
	-70.75563
	-70.71843
	-70.732498
	-70.689995
	-70.727821
	-70.65062
	-70.691559
	-70.67469
	-70.654373
	-70.647499
	-70.617813
	-70.64344
	-70.609055
	-70.616867
	-70.596245
	-70.605629
	-70.577179
	-70.569687
	-70.529686
	-70.509682
	-70.772499
	-70.554688
	-70.497498
	-70.543129
	-70.48156
	-70.536873
	-70.532814
	-70.550621
	-70.514061
	-70.53093
	-70.52562
	-70.524055
	-70.557808
	-70.555
	-70.553436
	-70.559685
	-70.53656
	-70.570305
	-70.509369
	-70.596878
	-70.593742
	-70.536568
	-70.605309
	-70.567497
	-70.586563
	-70.639366
	-70.569061
	-70.613434
	-70.640312
	-70.620316
	-70.609062
	-70.611244
	-70.659996
	-70.656563
	-70.592491
	-70.646255
	-70.647812
	-70.658432
	-70.649368
	-70.647812
	-70.680618
	-70.655617
	-70.677185
	-70.667191
	-70.690628
	-70.668747
	-70.669373
	-70.693756
	-70.675308
	-70.692184
	-70.760307
	-70.707809
	-70.71344
	-70.708748
	-70.716568
	-70.709061
	-70.706566
	-70.686562
	-70.741562
	-70.709999
	-70.710945
	-70.738121
	-70.752815
	-70.756561
	-70.722809
	-70.73687
	-70.745934
	-70.776566
	-70.759064
	-70.734375
	-70.815933
	-70.723122
	-70.761559
	-70.765625
	-70.722809
	-70.783127
	-70.776871
	-70.798431
	-70.789375
	-70.754066
	-70.782494
	-70.777504
	-70.795303
	-70.787819
	-70.795624
	-70.832191
	-70.823135
	-70.819992
	-70.84375
	-70.804062
	-70.815933
	-70.833748
	-70.809685
	-70.823746
	-70.809998
	-70.86187
	-70.824684
	-70.838432
	-70.790298
	-70.845619
	-70.819366
	-70.86969
	-70.831566
	-70.834366
	-70.839996
	-70.849998
	-70.858749
	-70.835312
	-70.860626
	-70.820938
	-70.878746
	-70.84375
	-70.857498
	-70.84375
	-70.878128
	-70.844994
	-70.883438
	-70.88562
	-70.852814
	-70.8825
	-70.874062
	-70.904686
	-70.871872
	-70.884377
	-70.90593
	-70.908127
	-70.915001
	-70.943436
	-70.84407
	-70.896873
	-70.886559
	-70.919685
	-70.920624
	-70.871559
	-70.921562
	-70.86219
	-70.916245
	-70.934372
	-70.94249
	-70.917496
	-70.897812
	-70.930313
	-70.930618
	-70.944992
	-70.950935
	-70.949364
	-70.945618
	-70.928116
	-70.925613
	-70.914993
	-70.923752
	-70.947189
	-70.932487
	-70.985619
	-70.925308
	-70.913429
	-70.913116
	-70.998749
	-70.915627
	-70.944366
	-70.942184
	-70.977493
	-70.940308
	-70.969994
	-70.971245
	-70.979378
	-70.95063
	-70.945
	-70.917191
	-70.971252
	-70.928123
	-70.979691
	-70.989059
	-70.948746
	-71.006241
	-70.949059
	-70.952194
	-70.983124
	-71.001564
	-70.979683
	-70.965317
	-70.956558
	-70.962814
	-71.004692
	-70.949684
	-70.984375
	-70.991249
	-71.019058
	-70.996246
	-70.974686
	-70.980309
	-71.013443
	-70.983124
	-71.013435
	-71.006554
	-70.985306
	-70.966866
	-70.985001
	-70.959686
	-70.974068
	-70.98188
	-71.009056
	-71.029678
	-70.996246
	-71.005936
	-70.99157
	-71.042496
	-70.996254
	-71.035316
	-70.990623
	-71.004372
	-71.003754
	-70.971878
	-71.022186
	-71.040298
	-70.990005
	-71.025002
	-71.010941
	-71.030624
	-71.027184
	-70.994064
	-71.021561
	-71.037804
	-70.99469
	-70.961868
	-70.988441
	-71.03125
	-70.995308
	-71.013435
	-71.005936
	-71.034996
	-71.005936
	-71.011559
	-71.039688
	-71.04937
	-71.033432
	-71.025314
	-71.051872
	-71.046249
	-71.039993
	-71.01844
	-71.03157
	-71.037811
	-71.055931
	-71.047195
	-71.030624
	-71.034065
	-71.028748
	-71.072815
	-71.036873
	-71.022499
	-71.050629
	-71.042503
	-71.03125
	-71.05687
	-71.021561
	-70.990623
	-71.007812
	-71.071564
	-71.050003
	-71.053749
	-71.013748
	-71.053749
	-71.019691
	-71.060623
	-71.067818
	-71.055008
	-71.081871
	-71.079689
	-71.023117
	-71.072495
	-71.047806
	-71.002502
	-71.104378
	-71.083435
	-71.0625
	-71.055626
	-71.083122
	-71.050003
	-71.089691
	-71.067184
	-71.074066
	-71.078751
	-71.054993
	-71.081253
	-71.04406
	-71.034683
	-71.096558
	-71.059685
	-71.054062
	-71.023438
	-71.03688
	-71.055618
	-71.072807
	-71.065315
	-71.058754
	-71.101242
	-71.051559
	-71.045631
	-71.066559
	-71.057495
	-71.084686
	-71.047813
	-71.052811
	-71.01281
	-71.103745
	-71.074997
	-71.059372
	-71.07531
	-71.114685
	-71.101875
	-71.071877
	-71.067497
	-71.074997
	-71.081558
	-71.111252
	-71.073433
	-71.095306
	-71.111565
	-71.098434
	-71.066879
	-71.083115
	-71.136246
	-71.104378
	-71.09156
	-71.053123
	-71.065315
	-71.057816
	-71.114685
	-71.054062
	-71.090317
	-71.087814
	-71.08625
	-71.084999
	-71.086868
	-71.081253
	-71.100937
	-71.054062
	-71.087814
	-71.079689
	-71.079056
	-71.115616
	-71.107811
	-71.107498
	-71.079376
	-71.059067
	-71.041557
	-71.079376
	-71.114059
	-71.067497
	-71.057816
	-71.070312
	-71.104065
	-71.061249
	-71.096558
	-71.121254
	-71.09375
	-71.132812
	-71.078117
	-71.079063
	-71.048431
	-71.090317
	-71.082191
	-71.13781
	-71.111557
	-71.098122
	-71.095306
	-71.067818
	-71.121567
	-71.092812
	-71.072807
	-71.1278
	-71.09375
	-71.118752
	-71.098434
	-71.11438
	-71.083427
	-71.146248
	-71.13063
	-71.084686
	-71.119995
	-71.120003
	-71.095627
	-71.114998
	-71.099991
	-71.104065
	-71.120934
	-71.121872
	-71.055931
	-71.113434
	-71.109688
	-71.085312
	-71.11969
	-71.078751
	-71.088432
	-71.099068
	-71.08625
	-71.07531
	-71.12468
	-71.084686
	-71.069687
	-71.08094
	-71.097809
	-71.076553
	-71.139999
	-71.099686
	-71.097496
	-71.083122
	-71.100937
	-71.123428
	-71.121559
	-71.103127
	-71.106865
	-71.142815
	-71.088127
	-71.118431
	-71.11937
	-71.102501
	-71.103127
	-71.119057
	-71.064064
	-71.104065
	-71.140938
	-71.097488
	-71.096565
	-71.069374
	-71.112198
	-71.122818
	-71.107498
	-71.127495
	-71.107498
	-71.094688
	-71.130005
	-71.127808
	-71.125313
	-71.097496
	-71.131874
	-71.09375
	-71.128433
	-71.08625
	-71.078751
	-71.071556
	-71.105621
	-71.1175
	-71.128433
	-71.081871
	-71.115623
	-71.095314
	-71.147812
	-71.114067
	-71.135941
	-71.097809
	-71.102806
	-71.145935
	-71.123123
	-71.110626
	-71.111565
	-71.109688
	-71.102814
	-71.121246
	-71.154991
	-71.095627
	-71.073746
	-71.15062
	-71.097183
	-71.131569
	-71.144058
	-71.110001
	-71.097809
	-71.157494
	-71.101242
	-71.149681
	-71.115944
	-71.125938
	-71.159378
	-71.098747
	-71.134995
	-71.09874
	-71.127815
	-71.139999
	-71.098747
	-71.084999
	-71.140938
	-71.111557
	-71.119064
	-71.103127
	-71.099998
	-71.127502
	-71.120934
	-71.078438
	-71.11187
	-71.143753
	-71.157501
	-71.080307
	-71.089676
	-71.119064
	-71.118431
	-71.128433
	-71.155624
	-71.168442
	-71.159378
	-71.086868
	-71.114059
	-71.094994
	-71.163742
	-71.147812
	-71.107811
	-71.142502
	-71.105934
	-71.144058
	-71.093124
	-71.102814
	-71.166878
	-71.163437
	-71.138123
	-71.112808
	-71.111244
	-71.14875
	-71.062187
	-71.09063
	-71.098129
	-71.149368
	-71.153755
	-71.113441
	-71.107193
	-71.118118
	-71.144058
	-71.120003
	-71.129684
	-71.10125
	-71.146873
	-71.116249
	-71.109367
	-71.094063
	-71.109375
	-71.131248
	-71.077812
	-71.08812
	-71.139687
	-71.099686
	-71.131241
	-71.167191
	-71.126556
	-71.121559
	-71.126556
	-71.159065
	-71.109367
	-71.124062
	-71.124062
	-71.137184
	-71.166565
	-71.106247
	-71.141251
	-71.110619
	-71.151245
	-71.092186
	-71.096565
	-71.095001
	-71.153122
	-71.080307
	-71.116867
	-71.142807
	-71.117813
	-71.118752
	-71.12719
	-71.098434
	-71.155624
	-71.114365
	-71.121246
	-71.114059
	-71.163437
	-71.13031
	-71.132492
	-71.121246
	-71.121559
	-71.114685
	-71.126251
	-71.140312
	-71.150314
	-71.144371
	-71.093124
	-71.139999
	-71.085938
	-71.119064
	-71.116249
	-71.129372
	-71.139992
	-71.105942
	-71.162186
	-71.154999
	-71.134995
	-71.156242
	-71.117813
	-71.140633
	-71.133133
	-71.107803
	-71.138123
	-71.136246
	-71.083443
	-71.100937
	-71.148438
	-71.168121
	-71.17968
	-71.138123
	-71.123436
	-71.131874
	-71.118752
	-71.102493
	-71.196251
	-71.181564
	-71.103752
	-71.107506
	-71.110313
	-71.134995
	-71.097183
	-71.14344
	-71.132812
	-71.111565
	-71.128128
	-71.101875
	-71.079376
	-71.108437
	-71.116875
	-71.117813
	-71.152504
	-71.101562
	-71.109375
	-71.118439
	-71.120628
	-71.135628
	-71.113441
	-71.131874
	-71.118752
	-71.110619
	-71.115311
	-71.122498
	-71.099686
	-71.089066
	-71.137192
	-71.119064
	-71.128754
	-71.121246
	-71.125
	-71.140312
	-71.095627
	-71.149063
	-71.104996
	-71.104683
	-71.163437
	-71.138748
	-71.133743
	-71.094688
	-71.10218
	-71.106247
	-71.143425
	-71.121872
	-71.124062
	-71.08812
	-71.109375
	-71.133125
	-71.128433
	-71.157501
	-71.096558
	-71.102814
	-71.165939
	-71.118118
	-71.127182
	-71.139999
	-71.150932
	-71.120316
	-71.119682
	-71.130936
	-71.118752
	-71.1325
	-71.113121
	-71.132492
	-71.113434
	-71.13781
	-71.115936
	-71.157501
	-71.133125
	-71.105629
	-71.131561
	-71.135002
	-71.097504
	-71.12999
	-71.126877
	-71.156563
	-71.154686
	-71.14875
	-71.158745
	-71.153435
	-71.144684
	-71.109062
	-71.144058
	-71.079056
	-71.154686
	-71.102814
	-71.129066
	-71.119682
	-71.162498
	-71.12281
	-71.108124
	-71.117813
	-71.131874
	-71.082504
	-71.131561
	-71.156876
	-71.193436
	-71.160629
	-71.129379
	-71.121254
	-71.099998
	-71.125938
	-71.134056
	-71.165627
	-71.104057
	-71.168121
	-71.109062
	-71.08812
	-71.095001
	-71.174057
	-71.125938
	-71.136559
	-71.132187
	-71.159378
	-71.135315
	-71.148117
	-71.134064
	-71.147186
	-71.137497
	-71.131241
	-71.157188
	-71.14843
	-71.141876
	-71.149063
	-71.097183
	-71.150002
	-71.133446
	-71.148117
	-71.159683
	-71.155624
	-71.133438
	-71.124062
	-71.12719
	-71.129997
	-71.141563
	-71.130318
	-71.135315
	-71.137184
	-71.137497
	-71.111557
	-71.112183
	-71.125626
	-71.129372
	-71.116562
	-71.122505
	-71.102188
	-71.114365
	-71.120003
	-71.138756
	-71.129692
	-71.164993
	-71.104057
	-71.157181
	-71.14875
	-71.144691
	-71.151245
	-71.121872
	-71.082809
	-71.133438
	-71.120003
	-71.133743
	-71.128433
	-71.164375
	-71.145317
	-71.123749
	-71.102188
	-71.128128
	-71.120628
	-71.136246
	-71.138748
	-71.099998
	-71.095627
	-71.102188
	-71.079689
	-71.124054
	-71.129051
	-71.123123
	-71.088127
	-71.110939
	-71.138443
